Dalvik/2.1.0 (Linux; U; Android 13; XQ-CT54 Build/64.1.A.0.851)
Dalvik/2.1.0 (Linux; U; Android 13; SM-S901U1 Build/TP1A.220624.014)
Dalvik/2.1.0 (Linux; U; Android 13; SM-A336B Build/TP1A.220624.014)
Dalvik/2.1.0 (Linux; U; Android 13; SM-N986B Build/TP1A.220624.014)
Dalvik/2.1.0 (Linux; U; Android 13; Redmi Note 7 Pro Build/TP1A.221005.002)
Dalvik/2.1.0 (Linux; U; Android 13; RMX3301 Build/SKQ1.220519.001)
Dalvik/2.1.0 (Linux; U; Android 13; Pixel 7 Build/TD1A.221105.001.A1)
Dalvik/2.1.0 (Linux; U; Android 13; CPH2249 Build/TP1A.220905.001)
Dalvik/2.1.0 (Linux; U; Android 13; I2017 Build/TP1A.220624.003)
Dalvik/2.1.0 (Linux; U; Android 13; LE2113 Build/TP1A.220624.014)
Dalvik/2.1.0 (Linux; U; Android 13; Pixel 7 Pro Build/TD1A.221105.001.A1)
Dalvik/2.1.0 (Linux; U; Android 13; SM-G988B Build/TP1A.220624.014)
Dalvik/2.1.0 (Linux; U; Android 13; V2145 Build/TP1A.220624.014)
Dalvik/2.1.0 (Linux; U; Android 13; SM-S906U1 Build/TP1A.220624.014)
Dalvik/2.1.0 (Linux; U; Android 13; SM-N980F Build/TP1A.220624.014)
Dalvik/2.1.0 (Linux; U; Android 13; SM-M526B Build/TP1A.220624.014)
Dalvik/2.1.0 (Linux; U; Android 13; Pixel 7 Build/TD1A.221105.003)
Dalvik/2.1.0 (Linux; U; Android 13; SM-G985F Build/TP1A.220624.014)
Dalvik/2.1.0 (Linux; U; Android 13; IN2015 Build/RKQ1.211119.001)
Dalvik/2.1.0 (Linux; U; Android 13; Pixel 5 Build/TP1A.221105.002)
Dalvik/2.1.0 (Linux; U; Android 13; V2206 Build/TP1A.220624.014)
Dalvik/2.1.0 (Linux; U; Android 13; SM-G991N Build/TP1A.220624.014)
Dalvik/2.1.0 (Linux; U; Android 13; SM-G736B Build/TP1A.220624.014)
Dalvik/2.1.0 (Linux; U; Android 13; M2102J20SG Build/TD1A.221105.001)
Dalvik/2.1.0 (Linux; U; Android 13; SM-M526BR Build/TP1A.220624.014)
Dalvik/2.1.0 (Linux; U; Android 13; Pixel 6a Build/TP1A.221105.002)
Dalvik/2.1.0 (Linux; U; Android 13; SM-A525F Build/TP1A.220624.014)
Dalvik/2.1.0 (Linux; U; Android 13; ONEPLUS A6003 Build/TP1A.220905.004.A2)
Dalvik/2.1.0 (Linux; U; Android 13; SM-X806B Build/TP1A.220624.014)
Dalvik/2.1.0 (Linux; U; Android 13; IN2025 Build/RKQ1.211119.001)
Dalvik/2.1.0 (Linux; U; Android 13; SM-S901B Build/TP1A.220624.014)
Dalvik/2.1.0 (Linux; U; Android 13; Pixel 6a Build/TP1A.220624.021.A1)
Dalvik/2.1.0 (Linux; U; Android 13; SM-S9080 Build/TP1A.220624.014)
Dalvik/2.1.0 (Linux; U; Android 13; SM-F926B Build/TP1A.220624.014)
Dalvik/2.1.0 (Linux; U; Android 13; SM-A536E Build/TP1A.220624.014)
Dalvik/2.1.0 (Linux; U; Android 13; LE2115 Build/TP1A.220624.014)
Dalvik/2.1.0 (Linux; U; Android 13; SM-N981U Build/TP1A.220624.014)
Dalvik/2.1.0 (Linux; U; Android 13; SM-G990B Build/TP1A.220624.014)
Dalvik/2.1.0 (Linux; U; Android 13; SM-G981U Build/TP1A.220624.014)
Dalvik/2.1.0 (Linux; U; Android 13; Pixel 7 Pro Build/TD1A.221105.001)
Dalvik/2.1.0 (Linux; U; Android 13; SM-X706B Build/TP1A.220624.014)
Dalvik/2.1.0 (Linux; U; Android 13; SM-F936B Build/TP1A.220624.014)
Dalvik/2.1.0 (Linux; U; Android 13; SM-A336E Build/TP1A.220624.014)
Dalvik/2.1.0 (Linux; U; Android 13; RMX3561 Build/TP1A.220905.001)
Dalvik/2.1.0 (Linux; U; Android 13; SM-F711B Build/TP1A.220624.014)
Dalvik/2.1.0 (Linux; U; Android 13; SM-G780F Build/TP1A.220624.014)
Dalvik/2.1.0 (Linux; U; Android 13; SM-X906B Build/TP1A.220624.014)
Dalvik/2.1.0 (Linux; U; Android 13; SM-A715F Build/TP1A.220624.014)
Dalvik/2.1.0 (Linux; U; Android 13; IN2023 Build/RKQ1.211119.001)
Dalvik/2.1.0 (Linux; U; Android 13; SM-T976B Build/TP1A.220624.014)
Dalvik/2.1.0 (Linux; U; Android 13; CPH2339 Build/TP1A.220905.001)
Dalvik/2.1.0 (Linux; U; Android 13; SM-A528B Build/TP1A.220624.014)
Dalvik/2.1.0 (Linux; U; Android 13; Pixel 7 Pro Build/TD1A.220804.009.A2)
Dalvik/2.1.0 (Linux; U; Android 13; SM-X700 Build/TP1A.220624.014)
Dalvik/2.1.0 (Linux; U; Android 13; SM-G996U Build/TP1A.220624.014)
Dalvik/2.1.0 (Linux; U; Android 13; SM-G998U Build/TP1A.220624.014)
Dalvik/2.1.0 (Linux; U; Android 13; SM-G986U Build/TP1A.220624.014)
Dalvik/2.1.0 (Linux; U; Android 13; SM-G998W Build/TP1A.220624.014)
Dalvik/2.1.0 (Linux; U; Android 13; Pixel 5 Build/T1B3.221003.008)
Dalvik/2.1.0 (Linux; U; Android 13; SM-G996N Build/TP1A.220624.014)
Dalvik/2.1.0 (Linux; U; Android 13; RMX3563 Build/TP1A.220905.001)
Dalvik/2.1.0 (Linux; U; Android 13; SM-A736B Build/TP1A.220624.014)
Dalvik/2.1.0 (Linux; U; Android 13; SM-N986U Build/TP1A.220624.014)
